competition,date,weight,contest_code,winner,white,blue,country_white,country_blue,time_seconds,technique,score_type,tag_group,is_ippon
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0015,GALITSKAIA Kseniia,KROPSKA Natalia,GALITSKAIA Kseniia,Poland,Russian Federation,157.69,O-uchi-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,27.24,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,64.42,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0015,WROBLEWSKA Eliza,MICHAELIDOU Zanet,WROBLEWSKA Eliza,Cyprus,Poland,212.27,O-soto-gaeshi,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0015,MISHINER Yuli Alma,MISHINER Yuli Alma,SOUZA Beatriz,Israel,Brazil,139.26,Ura-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0015,HEYDER Maximilian,HEYDER Maximilian,SAAEV Iznaur,Germany,Russian Federation,506.58,Kata-Guruma,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,156.0,Kuzure-kami-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,233.29,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0015,CHENG Lin,MAMMADOV Tofig,CHENG Lin,Azerbaijan,People's Republic of China,284.33,Uki-otoshi,Waza-ari-awasete-ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,114.29,Uchi-mata,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,141.06,Tomoe-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0015,GABOR Aron,MA Yuxiang,GABOR Aron,People's Republic of China,Hungary,310.31,Tai-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0015,ELBAKIEV Georgii,CHARNIAK Maksim,ELBAKIEV Georgii,Belarus,United Arab Emirates,112.73,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0015,ELBAKIEV Georgii,CHARNIAK Maksim,ELBAKIEV Georgii,Belarus,United Arab Emirates,154.49,Tani-otoshi,Yuko,35,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,116.05,Seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,138.71,Tomoe-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0015,SARSENBAEV Ernazar,SARSENBAEV Ernazar,ZHENG Ruixin,Uzbekistan,People's Republic of China,246.51,Uki-waza,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0015,BATCHAEV Denis,BATCHAEV Denis,YIN Yongjie,Russian Federation,People's Republic of China,128.0,O-uchi-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0016,GHIGLIONE Giulia,GELDIYEVA Ejegyz,GHIGLIONE Giulia,Turkmenistan,Italy,103.3,Tai-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0016,ZACHOVA Renata,ZACHOVA Renata,CIANO Raffaella Lelia,Czechia,Italy,57.3,O-uchi-gaeshi,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0016,ZACHOVA Renata,ZACHOVA Renata,CIANO Raffaella Lelia,Czechia,Italy,245.73,Tani-otoshi,Waza-ari-awasete-ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0016,MARATOVA Nazgul,MARATOVA Nazgul,JIA Bingqian,Kazakhstan,People's Republic of China,231.98,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0016,MARATOVA Nazgul,MARATOVA Nazgul,JIA Bingqian,Kazakhstan,People's Republic of China,244.0,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0016,SIMIN Iosif,SIMIN Iosif,BAITAS Bakzhan,Israel,Kazakhstan,106.26,O-soto-makikomi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0016,SIMIN Iosif,SIMIN Iosif,BAITAS Bakzhan,Israel,Kazakhstan,122.0,Ushiro-kesa-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0017,HUI Xinran,HUI Xinran,LEE Yoojin,People's Republic of China,Republic of Korea,128.48,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0017,OBERAN Iva,OBERAN Iva,DEBERDT Gaetane,Croatia,France,74.54,Uchi-mata,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0017,OBERAN Iva,OBERAN Iva,DEBERDT Gaetane,Croatia,France,86.53,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0017,HERSHKO Raz,HERSHKO Raz,SOLIMAN Safa,Israel,Egypt,286.22,Seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0017,BAATHE Karl,SAVYTSKIY Anton,BAATHE Karl,Ukraine,Sweden,491.77,Ko-soto-gake,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0017,BASHAEV Tamerlan,KOKAURI Ushangi,BASHAEV Tamerlan,Azerbaijan,Russian Federation,196.02,Seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0017,BASHAEV Tamerlan,KOKAURI Ushangi,BASHAEV Tamerlan,Azerbaijan,Russian Federation,211.24,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-78,gp_chn2026_0002_f_0078_0018,KUCHIMOVA Marjona,KUCHIMOVA Marjona,RIABCHENKO Alexandra,Uzbekistan,Russian Federation,163.02,Harai-goshi-gaeshi,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-66,gp_chn2026_0001_m_0066_0018,XUE Ziyang,YILDIZ Salih,XUE Ziyang,Türkiye,People's Republic of China,266.7,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0018,MROWCZYNSKI Wiktor,MROWCZYNSKI Wiktor,FAN Renchuan,Poland,People's Republic of China,154.99,Tomoe-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0018,MAKINEN Oskari,JUGDERGARAV Enkhtur,MAKINEN Oskari,Mongolia,Finland,331.0,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0018,MAJANOV Baymyrat,KUMRIC Zlatko,MAJANOV Baymyrat,Croatia,Turkmenistan,186.78,Soto-makikomi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0018,MAJANOV Baymyrat,KUMRIC Zlatko,MAJANOV Baymyrat,Croatia,Turkmenistan,264.57,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0018,HEGYI Stephan,SORDYL Jakub,HEGYI Stephan,Poland,Austria,293.26,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0019,XIE Hongyan,HAMIDOVA Shafag,XIE Hongyan,Azerbaijan,People's Republic of China,248.0,Kuzure-kami-shiho-gatame,Yuko,25,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0019,XIE Hongyan,HAMIDOVA Shafag,XIE Hongyan,Azerbaijan,People's Republic of China,292.27,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-57,gp_chn2026_0002_f_0057_0019,PARDAYEVA Maysa,TAO Yuying,PARDAYEVA Maysa,People's Republic of China,Turkmenistan,153.55,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-57,gp_chn2026_0002_f_0057_0019,PARDAYEVA Maysa,TAO Yuying,PARDAYEVA Maysa,People's Republic of China,Turkmenistan,236.0,Ura-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0019,NIU Xinran,NIU Xinran,SOMKHISHVILI Sophio,People's Republic of China,Georgia,39.53,Soto-makikomi,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0019,MA Yulin,YRYSBEKOV Khanbolot,MA Yulin,Kyrgyzstan,People's Republic of China,171.26,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0019,TOJIEV Elbek,DZITAC Ioan,TOJIEV Elbek,Romania,Uzbekistan,78.32,Tomoe-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0019,TOJIEV Elbek,DZITAC Ioan,TOJIEV Elbek,Romania,Uzbekistan,116.82,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0019,TOJIEV Elbek,DZITAC Ioan,TOJIEV Elbek,Romania,Uzbekistan,186.34,Tomoe-nage,No score,31,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0019,TOJIEV Elbek,DZITAC Ioan,TOJIEV Elbek,Romania,Uzbekistan,239.81,Tomoe-nage,Waza-ari,31,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0019,HUANG Fuchun,HUANG Fuchun,ARSENIE Rares,People's Republic of China,Romania,118.66,Tani-otoshi,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0019,GAMZATKHANOV Dzhamal,GAMZATKHANOV Dzhamal,AGRO Sylvain Lorenzo,Azerbaijan,Italy,97.79,O-uchi-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0020,BEDER Tugce,BEDER Tugce,ANNIS Morgane,Türkiye,France,107.25,Seoi-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0020,BEDER Tugce,BEDER Tugce,ANNIS Morgane,Türkiye,France,152.46,Tomoe-nage,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0020,TANIOKA Narumi,SIMIC Nina,TANIOKA Narumi,Croatia,Japan,46.29,Ko-soto-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0020,TANIOKA Narumi,SIMIC Nina,TANIOKA Narumi,Croatia,Japan,61.05,Yoko-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0020,AYIMAN Jinesinuer,AYIMAN Jinesinuer,SIMONETTI Erica,People's Republic of China,Italy,270.49,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0020,HEBIB Mustafa,WANG Jiangnan,HEBIB Mustafa,People's Republic of China,Bosnia and Herzegovina,70.5,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0020,HEBIB Mustafa,WANG Jiangnan,HEBIB Mustafa,People's Republic of China,Bosnia and Herzegovina,98.0,Yoko-shiho-gatame,Waza-ari,25,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0020,HEBIB Mustafa,WANG Jiangnan,HEBIB Mustafa,People's Republic of China,Bosnia and Herzegovina,173.6,Seoi-nage,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0020,PUUMALAINEN Martti,PUUMALAINEN Martti,DOBRE Darius,Finland,Romania,162.8,Seoi-otoshi,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0021,ZHUANG Wenna,ZHUANG Wenna,MUMINOVIQ Erza,People's Republic of China,Kosovo,154.78,Ko-soto-gake,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0021,ZHUANG Wenna,ZHUANG Wenna,MUMINOVIQ Erza,People's Republic of China,Kosovo,253.0,O-uchi-gari,No score,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0021,MAKRETSKAYA Yana,PIOVESANA Lubjana,MAKRETSKAYA Yana,Austria,Belarus,104.79,Sumi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0021,FONTAINE Lea,FONTAINE Lea,LIU Yu,France,People's Republic of China,109.04,O-soto-makikomi,Ippon,35,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0021,KRPALEK Lukas,KRPALEK Lukas,DIABY Tieman,Czechia,France,441.43,Uchi-mata,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0022,AZAK Merve,HAYDAROVA Laziza,AZAK Merve,Uzbekistan,Türkiye,50.05,O-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0022,AZAK Merve,HAYDAROVA Laziza,AZAK Merve,Uzbekistan,Türkiye,234.08,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0022,AZAK Merve,HAYDAROVA Laziza,AZAK Merve,Uzbekistan,Türkiye,300.04,O-uchi-gari,No score,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0022,STOLZE Friederike,STOLZE Friederike,SEIKKULA Louna-Lumia,Germany,Finland,204.76,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0022,SILVA Nauana,ONDEI Serena,SILVA Nauana,Italy,Brazil,222.05,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0022,SONE Akira,SONE Akira,IVANOVA Mariia,Japan,Russian Federation,99.66,Ashi-guruma,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0022,SONE Akira,SONE Akira,IVANOVA Mariia,Japan,Russian Federation,115.0,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0022,BIBITKO Itay,TARKOWSKI Fabrycjusz,BIBITKO Itay,Poland,Israel,57.01,Seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0022,BIBITKO Itay,TARKOWSKI Fabrycjusz,BIBITKO Itay,Poland,Israel,177.98,Uchi-mata,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0022,BU Hebilige,CRET Alex,BU Hebilige,Romania,People's Republic of China,170.28,Ko-uchi-gari,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0022,FERREIRA Giovani,KUCZERA Piotr,FERREIRA Giovani,Poland,Brazil,177.21,Kata-Guruma,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0022,FERREIRA Giovani,KUCZERA Piotr,FERREIRA Giovani,Poland,Brazil,243.78,Ko-soto-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0022,TERESINSKI Grzegorz,TERESINSKI Grzegorz,FIZEL Marius,Poland,Slovakia,389.76,Seoi-nage,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0022,TERESINSKI Grzegorz,TERESINSKI Grzegorz,FIZEL Marius,Poland,Slovakia,484.02,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0023,CID BALCELLS Jana,GANBAATAR Narantsetseg,CID BALCELLS Jana,Mongolia,Spain,22.44,Tomoe-nage,Waza-ari,31,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0023,KIM Jisu,SZYMANSKA Angelika,KIM Jisu,Poland,Republic of Korea,449.79,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0023,VARDANIAN Narek,DUISENKHAN Yersultan,VARDANIAN Narek,Kazakhstan,Sweden,247.0,Tate-shiho-gatame,Waza-ari,25,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0023,VARDANIAN Narek,DUISENKHAN Yersultan,VARDANIAN Narek,Kazakhstan,Sweden,293.26,Tate-shiho-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0023,SULCA Adrian,TSOUTLASVILI Michail,SULCA Adrian,Greece,Romania,349.25,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0023,MATASEJE Benjamin,BRASNJOVIC Darko,MATASEJE Benjamin,Serbia,Slovakia,305.02,Ippon-seoi-nage,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0023,MATASEJE Benjamin,BRASNJOVIC Darko,MATASEJE Benjamin,Serbia,Slovakia,330.28,Ippon-seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0023,OTA Hyoga,OTA Hyoga,SVIRYD Mikita,Japan,Croatia,291.51,Uchi-mata,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0024,VOROBEVA Marina,VOROBEVA Marina,GHIGLIONE Giulia,Russian Federation,Italy,44.22,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0024,VOROBEVA Marina,VOROBEVA Marina,GHIGLIONE Giulia,Russian Federation,Italy,83.0,Sumi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0024,GALITSKAIA Kseniia,GALITSKAIA Kseniia,ZACHOVA Renata,Russian Federation,Czechia,79.25,Sumi-gaeshi,Yuko,31,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0024,MISHINER Yuli Alma,MISHINER Yuli Alma,MARATOVA Nazgul,Israel,Kazakhstan,167.52,Seoi-nage,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0024,MISHINER Yuli Alma,MISHINER Yuli Alma,MARATOVA Nazgul,Israel,Kazakhstan,184.0,Kuzure-kesa-gatame,Waza-ari-awasete-ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0024,SIMIN Iosif,SARSENBAEV Ernazar,SIMIN Iosif,Uzbekistan,Israel,300.32,O-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0025,DUDINA Kristina,HUI Xinran,DUDINA Kristina,People's Republic of China,Russian Federation,340.35,Yoko-gake,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0025,OBERAN Iva,OBERAN Iva,CAPANNI DIAS Thauany David,Croatia,Italy,76.23,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0025,OBERAN Iva,OBERAN Iva,CAPANNI DIAS Thauany David,Croatia,Italy,197.67,O-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0025,OBERAN Iva,OBERAN Iva,CAPANNI DIAS Thauany David,Croatia,Italy,244.42,Tani-otoshi,Yuko,35,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0025,STARTSEVA Elis,HERSHKO Raz,STARTSEVA Elis,Israel,Russian Federation,29.46,Ko-uchi-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0025,STARTSEVA Elis,HERSHKO Raz,STARTSEVA Elis,Israel,Russian Federation,232.7,Ko-uchi-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0025,BAATHE Karl,BAATHE Karl,MAJANOV Baymyrat,Sweden,Turkmenistan,123.5,Ko-soto-gake,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0025,BASHAEV Tamerlan,BASHAEV Tamerlan,HEGYI Stephan,Russian Federation,Austria,138.71,Uki-otoshi,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0026,TANIOKA Narumi,FAZLIU Laura,TANIOKA Narumi,Kosovo,Japan,599.73,Uki-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0026,AYIMAN Jinesinuer,NIU Xinran,AYIMAN Jinesinuer,People's Republic of China,People's Republic of China,135.26,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0026,SUN Jiaxu,SUN Jiaxu,MURILLO MARTINEZ DE LIZARRONDO Asier,People's Republic of China,Spain,270.76,Ko-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-60,gp_chn2026_0001_m_0060_0026,SUN Jiaxu,SUN Jiaxu,MURILLO MARTINEZ DE LIZARRONDO Asier,People's Republic of China,Spain,312.77,Hikikomi-gaeshi,Waza-ari,31,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0026,CADIGNAN Nathan,CADIGNAN Nathan,ZHANG Minghao,France,People's Republic of China,187.5,Uchi-mata,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-73,gp_chn2026_0001_m_0073_0026,CADIGNAN Nathan,CADIGNAN Nathan,ZHANG Minghao,France,People's Republic of China,287.93,O-uchi-gari,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0026,PONS Bastien,PONS Bastien,BIN ABDUL MAJEED Amir Daniel,France,Malaysia,358.55,Seoi-nage,Ippon,33,True
Qingdao Grand Prix 2026,2026-06-26,-100,gp_chn2026_0001_m_0100_0026,SANGARIEV Adam,HUANG Fuchun,SANGARIEV Adam,People's Republic of China,Russian Federation,311.74,Tani-otoshi,Waza-ari,35,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0026,PUUMALAINEN Martti,GAMZATKHANOV Dzhamal,PUUMALAINEN Martti,Azerbaijan,Finland,32.01,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0026,PUUMALAINEN Martti,GAMZATKHANOV Dzhamal,PUUMALAINEN Martti,Azerbaijan,Finland,195.49,Seoi-otoshi,Yuko,33,False
Qingdao Grand Prix 2026,2026-06-26,100,gp_chn2026_0001_m_p100_0026,PUUMALAINEN Martti,GAMZATKHANOV Dzhamal,PUUMALAINEN Martti,Azerbaijan,Finland,319.5,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0027,ZHUANG Wenna,ZHUANG Wenna,AZAK Merve,People's Republic of China,Türkiye,80.27,Ko-soto-gari,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0027,ZHUANG Wenna,ZHUANG Wenna,AZAK Merve,People's Republic of China,Türkiye,117.26,Yoko-shiho-gatame,No score,25,False
Qingdao Grand Prix 2026,2026-06-26,-48,gp_chn2026_0002_f_0048_0027,ZHUANG Wenna,ZHUANG Wenna,AZAK Merve,People's Republic of China,Türkiye,242.03,Juji-gatame,Ippon,24,True
Qingdao Grand Prix 2026,2026-06-26,-63,gp_chn2026_0002_f_0063_0027,MAKRETSKAYA Yana,MAKRETSKAYA Yana,STOLZE Friederike,Belarus,Germany,192.72,Kata-Guruma,Waza-ari,33,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0027,BADUROVA Kamila,BADUROVA Kamila,LIU Lu,Russian Federation,People's Republic of China,123.75,De-ashi-harai,Yuko,29,False
Qingdao Grand Prix 2026,2026-06-26,-70,gp_chn2026_0002_f_0070_0027,BADUROVA Kamila,BADUROVA Kamila,LIU Lu,Russian Federation,People's Republic of China,212.96,Ko-soto-gake,Waza-ari,29,False
Qingdao Grand Prix 2026,2026-06-26,78,gp_chn2026_0002_f_0p78_0027,FONTAINE Lea,FONTAINE Lea,SONE Akira,France,Japan,62.0,Yoko-shiho-gatame,Ippon,25,True
Qingdao Grand Prix 2026,2026-06-26,-81,gp_chn2026_0001_m_0081_0027,ABDELGHANY Abdelrahman,ABDELGHANY Abdelrahman,PALTAYEV Ylham,Egypt,Turkmenistan,181.94,Uchi-mata,Ippon,29,True
Qingdao Grand Prix 2026,2026-06-26,-90,gp_chn2026_0001_m_0090_0027,MOORHEAD Lachlan,FRIDMAN ZILBERSTEIN Reem,MOORHEAD Lachlan,Israel,Great Britain,147.79,Kata-Guruma,Waza-ari,33,False
